arm,lr,f1_macro_val,f1_macro_dev_test,selected_epoch
mobilenetv3_small,0.0001,0.5306182121971595,0.49967438358742705,43
mobilenetv3_small,0.001,0.6277083080916033,0.5460731741376904,43
mobilenetv3_small,0.01,0.6860154338415209,0.5246828363207673,23
resnet18,0.0001,0.6934967320261438,0.5883233836137647,22
resnet18,0.001,0.6928682428682428,0.5849276416848573,10
resnet18,0.01,0.6690739978975274,0.6249145681904302,48
