# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: 5540888815d618d6
# generated: 2026-09-10T02:26:18+00:00
arm,class,n_clean,support_total,support_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_folds
mobilenetv3_small,gas_influence,31,93,6.2,0.5227380952380952,0.1801534513546311,0.5333333333333333,0.20098558580487347,0.513015133015133,0.16767858951157402,15
mobilenetv3_small,collide_pump_and_vibration,35,105,7.0,0.6801515151515151,0.19537801783821032,0.7047619047619047,0.2191067651588759,0.6645066045066045,0.15054345496731167,15
mobilenetv3_small,vibration,46,138,9.2,0.4392063492063491,0.28131371130468635,0.2681481481481482,0.19032445455373248,0.30775466931477163,0.18453533039204667,15
mobilenetv3_small,full_load_production,50,150,10.0,0.7628321970427234,0.1894221303617349,0.7266666666666667,0.19073791542572857,0.7145901891463321,0.12225375378190881,15
mobilenetv3_small,severe_insufficient_liquid_supply,52,156,10.4,0.8583916083916083,0.11775859493800016,0.913939393939394,0.09148303670905138,0.8785514674772987,0.07475604323554065,15
mobilenetv3_small,pump_leakage,65,195,13.0,0.4080450089371969,0.15697119407672758,0.4461538461538463,0.18887037959247316,0.3909479072431386,0.0977512110882165,15
mobilenetv3_small,gas_influence_and_vibration,69,207,13.8,0.6120502482267188,0.11780743583763874,0.6527472527472526,0.14552217695853467,0.6233732617757024,0.1196775054522852,15
mobilenetv3_small,natural_flowing,85,255,17.0,0.5174071284800599,0.14753061518362112,0.5098039215686274,0.21286672483992525,0.49034664048376536,0.1774290485350798,15
mobilenetv3_small,insufficient_liquid_supply_and_vibration,106,318,21.2,0.8585503504038973,0.07763958792535368,0.7316017316017316,0.16352482840458196,0.7774139222384554,0.1078582036516022,15
mobilenetv3_small,severe_vibration,129,387,25.8,0.6040610826583367,0.13534347325329663,0.5351794871794873,0.15489954388379312,0.5395538649014228,0.0847257496300223,15
resnet18,gas_influence,31,93,6.2,0.6299470899470899,0.15018059730930647,0.5936507936507937,0.15310908800638823,0.5882778332778333,0.07739805149484472,15
resnet18,collide_pump_and_vibration,35,105,7.0,0.5833882783882784,0.24239982785063444,0.6095238095238095,0.2256617522608351,0.5811918800154093,0.20499737900867007,15
resnet18,vibration,46,138,9.2,0.37460798460798456,0.1991789489352457,0.28666666666666674,0.22262661617442983,0.31380186262539206,0.20187215414613582,15
resnet18,full_load_production,50,150,10.0,0.6909328579916815,0.12683395020100904,0.78,0.1207121724244435,0.7260561167227834,0.09777382472051756,15
resnet18,severe_insufficient_liquid_supply,52,156,10.4,0.9082983682983684,0.10143601110406948,0.8842424242424243,0.08149044508832086,0.8906671487678355,0.058429929408078,15
resnet18,pump_leakage,65,195,13.0,0.4212899845252786,0.11088251261268127,0.4102564102564103,0.1289356476688501,0.4102760117702646,0.1089038463589032,15
resnet18,gas_influence_and_vibration,69,207,13.8,0.6779128382797114,0.10050424078383993,0.6919413919413918,0.14238035801162877,0.6716694935942168,0.07560963449498885,15
resnet18,natural_flowing,85,255,17.0,0.47217015128174106,0.11935984659619153,0.4980392156862745,0.07658900549079833,0.47966096709946093,0.08122501121725514,15
resnet18,insufficient_liquid_supply_and_vibration,106,318,21.2,0.830906086243615,0.0905723742300399,0.7580086580086579,0.12700456395576992,0.785329741030111,0.08340158296376655,15
resnet18,severe_vibration,129,387,25.8,0.5685312054077671,0.08584089593522946,0.583794871794872,0.1041990206164909,0.5729590297700475,0.0834006162667591,15
yolo26m,gas_influence,31,93,6.2,0.5400234950234951,0.17940996272714632,0.6301587301587301,0.19795411858151396,0.5582297990966721,0.16019447105967974,15
yolo26m,collide_pump_and_vibration,35,105,7.0,0.5102225357488516,0.13522378583449857,0.6952380952380952,0.18600187047765304,0.5559185389773625,0.08452629187016658,15
