# Per-fold merged macro-F1, the input to taxonomy_merge.csv.
#
# Kept so any scenario pair can be given a corrected paired interval without
# recomputing the merges. `recorded_f1_macro` is the value the run itself
# wrote; the baseline scenario must reproduce it exactly, and
# --verify-reference asserts that it does.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: f54363b409c11652
# generated: 2026-09-24T08:57:27+00:00
arm,fold,repeat,fold_index,scenario,n_classes,macro_f1,recorded_f1_macro,support,protocol
yolo26n,r2f0,2,0,M2,9,0.5975945059637898,0.5666119066958449,134.0,uniform
yolo26n,r2f0,2,0,M3,8,0.6434622706408728,0.5666119066958449,134.0,uniform
yolo26n,r2f0,2,0,M4,5,0.7149692197266189,0.5666119066958449,134.0,uniform
yolo26n,r2f0,2,0,M5,7,0.6797429589571234,0.5666119066958449,134.0,uniform
yolo26n,r2f1,2,1,baseline,10,0.4866537842190016,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M1,9,0.4983130457869432,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M2,9,0.519985686169261,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M3,8,0.5372688431769779,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M4,5,0.5635294117647058,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M5,7,0.5880690281973247,0.4866537842190016,134.0,uniform
yolo26n,r2f2,2,2,baseline,10,0.5784275463173347,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M1,9,0.6038091121544038,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M2,9,0.5987085384068696,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M3,8,0.6297979239847642,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M4,5,0.6562469176393227,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M5,7,0.7008250750411029,0.5784275463173347,134.0,uniform
yolo26n,r2f3,2,3,baseline,10,0.48283892207462004,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M1,9,0.518126670244563,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M2,9,0.5135197385506256,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M3,8,0.5570535573013121,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M4,5,0.6645689667014283,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M5,7,0.6059542796384901,0.48283892207462004,133.0,uniform
yolo26n,r2f4,2,4,baseline,10,0.541551346067475,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M1,9,0.5633834327462959,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M2,9,0.5593135657651787,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M3,8,0.5860949407410649,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M4,5,0.6043031331995679,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M5,7,0.6315866845499254,0.541551346067475,133.0,uniform
yolo26s,r0f0,0,0,baseline,10,0.5301901009267451,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M1,9,0.5645934420645375,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M2,9,0.5737420683385115,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M3,8,0.617889823044999,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M4,5,0.5882015193996428,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M5,7,0.675561852648036,0.5301901009267451,134.0,uniform
yolo26s,r0f1,0,1,baseline,10,0.4401336344814605,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M1,9,0.4890373716460673,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M2,9,0.48537327974668126,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M3,8,0.5460449397150164,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M4,5,0.6311103271893466,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M5,7,0.6056427462289263,0.4401336344814605,134.0,uniform
yolo26s,r0f2,0,2,baseline,10,0.47061520629471953,0.47061520629471953,134.0,uniform
yolo26s,r0f2,0,2,M1,9,0.5179136514215682,0.47061520629471953,134.0,uniform
yolo26s,r0f2,0,2,M2,9,0.5037195048959755,0.47061520629471953,134.0,uniform
yolo26s,r0f2,0,2,M3,8,0.5610682929888373,0.47061520629471953,134.0,uniform
yolo26s,r0f2,0,2,M4,5,0.6094451792551341,0.47061520629471953,134.0,uniform
yolo26s,r0f2,0,2,M5,7,0.5603133561116754,0.47061520629471953,134.0,uniform
yolo26s,r0f3,0,3,baseline,10,0.558520442965204,0.558520442965204,133.0,uniform
yolo26s,r0f3,0,3,M1,9,0.6023964517795195,0.558520442965204,133.0,uniform
yolo26s,r0f3,0,3,M2,9,0.6044032326949691,0.558520442965204,133.0,uniform
yolo26s,r0f3,0,3,M3,8,0.6594990913272949,0.558520442965204,133.0,uniform
yolo26s,r0f3,0,3,M4,5,0.69403128840469,0.558520442965204,133.0,uniform
yolo26s,r0f3,0,3,M5,7,0.6952684240804886,0.558520442965204,133.0,uniform
yolo26s,r0f4,0,4,baseline,10,0.4733632537008751,0.4733632537008751,133.0,uniform
yolo26s,r0f4,0,4,M1,9,0.5028914251619849,0.4733632537008751,133.0,uniform
yolo26s,r0f4,0,4,M2,9,0.509044171488272,0.4733632537008751,133.0,uniform
yolo26s,r0f4,0,4,M3,8,0.546723479105445,0.4733632537008751,133.0,uniform
yolo26s,r0f4,0,4,M4,5,0.5956908282737985,0.4733632537008751,133.0,uniform
yolo26s,r0f4,0,4,M5,7,0.5742977327342652,0.4733632537008751,133.0,uniform
yolo26s,r1f0,1,0,baseline,10,0.5327766619844418,0.5327766619844418,134.0,uniform
yolo26s,r1f0,1,0,M1,9,0.5543609949682057,0.5327766619844418,134.0,uniform
yolo26s,r1f0,1,0,M2,9,0.5996290746290747,0.5327766619844418,134.0,uniform
yolo26s,r1f0,1,0,M3,8,0.6322680008163879,0.5327766619844418,134.0,uniform
yolo26s,r1f0,1,0,M4,5,0.6592847152847153,0.5327766619844418,134.0,uniform
yolo26s,r1f0,1,0,M5,7,0.6800734323793941,0.5327766619844418,134.0,uniform
yolo26s,r1f1,1,1,baseline,10,0.5187538689344812,0.5187538689344812,134.0,uniform
yolo26s,r1f1,1,1,M1,9,0.5510566623684539,0.5187538689344812,134.0,uniform
yolo26s,r1f1,1,1,M2,9,0.568854417407588,0.5187538689344812,134.0,uniform
yolo26s,r1f1,1,1,M3,8,0.6114576285799456,0.5187538689344812,134.0,uniform
yolo26s,r1f1,1,1,M4,5,0.6511874972700509,0.5187538689344812,134.0,uniform
yolo26s,r1f1,1,1,M5,7,0.6578397309564805,0.5187538689344812,134.0,uniform
yolo26s,r1f2,1,2,baseline,10,0.4443232560838788,0.4443232560838788,134.0,uniform
yolo26s,r1f2,1,2,M1,9,0.4798394829777634,0.4443232560838788,134.0,uniform
yolo26s,r1f2,1,2,M2,9,0.4539250699944989,0.4443232560838788,134.0,uniform
yolo26s,r1f2,1,2,M3,8,0.49508105198894675,0.4443232560838788,134.0,uniform
yolo26s,r1f2,1,2,M4,5,0.512396083448715,0.4443232560838788,134.0,uniform
yolo26s,r1f2,1,2,M5,7,0.5170056367356186,0.4443232560838788,134.0,uniform
yolo26s,r1f3,1,3,baseline,10,0.4687188523266229,0.4687188523266229,133.0,uniform
yolo26s,r1f3,1,3,M1,9,0.4977828517914858,0.4687188523266229,133.0,uniform
yolo26s,r1f3,1,3,M2,9,0.5297550260039603,0.4687188523266229,133.0,uniform
yolo26s,r1f3,1,3,M3,8,0.5700815471115983,0.4687188523266229,133.0,uniform
yolo26s,r1f3,1,3,M4,5,0.562242905601059,0.4687188523266229,133.0,uniform
yolo26s,r1f3,1,3,M5,7,0.6204328108054816,0.4687188523266229,133.0,uniform
yolo26s,r1f4,1,4,baseline,10,0.4298064587742007,0.4298064587742007,133.0,uniform
yolo26s,r1f4,1,4,M1,9,0.4612539072904165,0.4298064587742007,133.0,uniform
yolo26s,r1f4,1,4,M2,9,0.4718256223126558,0.4298064587742007,133.0,uniform
yolo26s,r1f4,1,4,M3,8,0.5124563973357055,0.4298064587742007,133.0,uniform
yolo26s,r1f4,1,4,M4,5,0.5167110536522301,0.4298064587742007,133.0,uniform
yolo26s,r1f4,1,4,M5,7,0.5654584426490646,0.4298064587742007,133.0,uniform
yolo26s,r2f0,2,0,baseline,10,0.5844806415501462,0.5844806415501462,134.0,uniform
yolo26s,r2f0,2,0,M1,9,0.6052672539508844,0.5844806415501462,134.0,uniform
yolo26s,r2f0,2,0,M2,9,0.6195434954988593,0.5844806415501462,134.0,uniform
yolo26s,r2f0,2,0,M3,8,0.6473112911932787,0.5844806415501462,134.0,uniform
yolo26s,r2f0,2,0,M4,5,0.641017316017316,0.5844806415501462,134.0,uniform
yolo26s,r2f0,2,0,M5,7,0.6766741096820955,0.5844806415501462,134.0,uniform
yolo26s,r2f1,2,1,baseline,10,0.4951290911817227,0.4951290911817227,134.0,uniform
yolo26s,r2f1,2,1,M1,9,0.5324738614212299,0.4951290911817227,134.0,uniform
yolo26s,r2f1,2,1,M2,9,0.5536880381909621,0.4951290911817227,134.0,uniform
yolo26s,r2f1,2,1,M3,8,0.6030207730865625,0.4951290911817227,134.0,uniform
yolo26s,r2f1,2,1,M4,5,0.5883818344597003,0.4951290911817227,134.0,uniform
yolo26s,r2f1,2,1,M5,7,0.6276281362747529,0.4951290911817227,134.0,uniform
yolo26s,r2f2,2,2,baseline,10,0.549129836356463,0.549129836356463,134.0,uniform
yolo26s,r2f2,2,2,M1,9,0.6062993159767354,0.549129836356463,134.0,uniform
yolo26s,r2f2,2,2,M2,9,0.5774798886975514,0.549129836356463,134.0,uniform
yolo26s,r2f2,2,2,M3,8,0.645339309812994,0.549129836356463,134.0,uniform
yolo26s,r2f2,2,2,M4,5,0.6469313527721743,0.549129836356463,134.0,uniform
yolo26s,r2f2,2,2,M5,7,0.681937110508539,0.549129836356463,134.0,uniform
yolo26s,r2f3,2,3,baseline,10,0.4917931018898935,0.4917931018898935,133.0,uniform
yolo26s,r2f3,2,3,M1,9,0.49217133881976566,0.4917931018898935,133.0,uniform
yolo26s,r2f3,2,3,M2,9,0.5196550008208551,0.4917931018898935,133.0,uniform
yolo26s,r2f3,2,3,M3,8,0.5235632547333315,0.4917931018898935,133.0,uniform
yolo26s,r2f3,2,3,M4,5,0.5594731205825658,0.4917931018898935,133.0,uniform
yolo26s,r2f3,2,3,M5,7,0.547156773157024,0.4917931018898935,133.0,uniform
yolo26s,r2f4,2,4,baseline,10,0.5705741959847145,0.5705741959847145,133.0,uniform
yolo26s,r2f4,2,4,M1,9,0.5942377356295396,0.5705741959847145,133.0,uniform
yolo26s,r2f4,2,4,M2,9,0.6165110114115875,0.5705741959847145,133.0,uniform
yolo26s,r2f4,2,4,M3,8,0.6488745954403751,0.5705741959847145,133.0,uniform
yolo26s,r2f4,2,4,M4,5,0.7116825716753732,0.5705741959847145,133.0,uniform
yolo26s,r2f4,2,4,M5,7,0.6856965331109955,0.5705741959847145,133.0,uniform
yolo26m,r0f0,0,0,baseline,10,0.5248505174380965,0.5248505174380965,134.0,uniform
yolo26m,r0f0,0,0,M1,9,0.5438229545003299,0.5248505174380965,134.0,uniform
yolo26m,r0f0,0,0,M2,9,0.5652047343818913,0.5248505174380965,134.0,uniform
yolo26m,r0f0,0,0,M3,8,0.5915930031948783,0.5248505174380965,134.0,uniform
yolo26m,r0f0,0,0,M4,5,0.666723097050803,0.5248505174380965,134.0,uniform
yolo26m,r0f0,0,0,M5,7,0.6546919474781271,0.5248505174380965,134.0,uniform
yolo26m,r0f1,0,1,baseline,10,0.3991113871108641,0.3991113871108641,134.0,uniform
yolo26m,r0f1,0,1,M1,9,0.4342268089300242,0.3991113871108641,134.0,uniform
yolo26m,r0f1,0,1,M2,9,0.41843257996653505,0.3991113871108641,134.0,uniform
yolo26m,r0f1,0,1,M3,8,0.46035257862004897,0.3991113871108641,134.0,uniform
yolo26m,r0f1,0,1,M4,5,0.5114362691525939,0.3991113871108641,134.0,uniform
yolo26m,r0f1,0,1,M5,7,0.5257358275628568,0.3991113871108641,134.0,uniform
