# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: 5540888815d618d6
# generated: 2026-09-10T02:26:18+00:00
arm,architecture,n_folds,complete,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,params_mean,params_std,gflops_mean,gflops_std,size_mb_mean,size_mb_std,size_mb_fp16_mean,size_mb_fp16_std,size_mb_fp32_mean,size_mb_fp32_std,size_mb_fp16_payload_mean,size_mb_fp16_payload_std,latency_ms_mean_mean,latency_ms_mean_std,wall_time_s_mean,wall_time_s_std,selected_epoch_mean,selected_epoch_min,selected_epoch_max,epoch_budget
resnet18,resnet18,15,True,0.6019890084673354,0.04893817770985862,0.6138143867130511,0.04553188669581954,0.6157984844971516,0.05484826243155301,0.60961242417713,0.0441161776183076,11181642.0,0.0,3.6470538239999986,1.379028010468894e-15,21.377000000000002,3.677408027917051e-15,21.377000000000002,3.677408027917051e-15,42.721999999999994,7.354816055834102e-15,21.346,0.0,69.47126666666666,8.674598010172875,76.21,0.7085699884778001,29.733333333333334,10,46,50
mobilenetv3_small,mobilenet_v3_small,15,True,0.5900053660102623,0.07419627856553236,0.6012119851868477,0.07099285168620809,0.62634335837365,0.0596309835866268,0.6022335686100391,0.06372830740129616,1528106.0,0.0,0.12292836799999998,1.436487510905098e-17,3.0039999999999996,4.596760034896314e-16,3.0039999999999996,4.596760034896314e-16,5.9399999999999995,9.193520069792627e-16,2.9380000000000006,4.596760034896314e-16,12.766266666666665,1.6365221165921466,89.158,2.1902909134894126,29.933333333333334,14,49,50
yolo26m,yolo26m-cls,15,True,0.5300620035584466,0.06167599151926752,0.5384917517674784,0.05755393466320375,0.5506513335197726,0.07439759211493735,0.548653143806085,0.05888621215988882,10366026.0,0.0,4.851194368,0.0,19.892,0.0,19.892,0.0,39.707999999999984,1.4709632111668204e-14,19.815999999999995,3.677408027917051e-15,89.1378,7.5154045628201,89.166,1.3578070555126762,27.2,8,49,50
yolo26n,yolo26n-cls,15,True,0.5230746849260125,0.05122585629738983,0.5319829424307037,0.04579136219785659,0.5262840703733713,0.054707512817832524,0.5506305276422924,0.049797580257801795,1543914.0,0.0,0.3983127040000001,5.745950043620392e-17,3.025999999999999,9.193520069792627e-16,3.025999999999999,9.193520069792627e-16,5.989000000000001,9.193520069792627e-16,2.9639999999999995,4.596760034896314e-16,17.057333333333336,2.9029420708423834,27.073333333333334,0.5084804627046953,19.933333333333334,7,25,25
yolo26s,yolo26s-cls,15,True,0.503887240229038,0.04951223879262497,0.5244379605730745,0.04642119563782269,0.5451814548762642,0.04206299573195273,0.5130761230055347,0.05795515663483158,5455818.0,0.0,1.4863918080000003,2.298380017448157e-16,10.501000000000001,1.8387040139585255e-15,10.501000000000001,1.8387040139585255e-15,20.940999999999995,3.677408027917051e-15,10.44,0.0,38.031800000000004,5.305553656311469,75.52933333333334,0.89474231459332,26.333333333333332,3,50,50
