# All 45 single-pair merges, ranked by mean macro-F1 gain, per arm.
#
# THIS IS THE CONTROL for taxonomy_merge.csv. Merging any two of ten classes
# raises macro-F1 for free. The hypothesis is that the proposed pairs are not
# merely above zero but above the REST OF THIS DISTRIBUTION.
#
# `hypothesised` names the scenario a pair belongs to, and is blank for the
# other 43.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: f54363b409c11652
# generated: 2026-09-24T08:57:27+00:00
arm,class_a,class_b,n_folds,macro_f1_mean,macro_f1_sd,gain_mean,hypothesised,within_family,rank_in_arm,protocol
resnet18,insufficient_liquid_supply_and_vibration,vibration,15,0.623178,0.045343,0.021189,,False,8,uniform
resnet18,full_load_production,vibration,15,0.62183,0.048983,0.019841,,False,9,uniform
resnet18,collide_pump_and_vibration,vibration,15,0.620421,0.040842,0.018432,,False,10,uniform
resnet18,gas_influence,gas_influence_and_vibration,15,0.619245,0.053177,0.017256,,False,11,uniform
resnet18,gas_influence,vibration,15,0.619151,0.047529,0.017162,,False,12,uniform
resnet18,collide_pump_and_vibration,severe_vibration,15,0.618799,0.040705,0.01681,,False,13,uniform
resnet18,full_load_production,pump_leakage,15,0.615101,0.055174,0.013112,,False,14,uniform
resnet18,collide_pump_and_vibration,pump_leakage,15,0.611944,0.044088,0.009955,,False,15,uniform
resnet18,gas_influence_and_vibration,pump_leakage,15,0.611053,0.050916,0.009064,,False,16,uniform
resnet18,gas_influence,pump_leakage,15,0.610082,0.053837,0.008093,,False,17,uniform
resnet18,collide_pump_and_vibration,natural_flowing,15,0.609954,0.043532,0.007965,,False,18,uniform
resnet18,insufficient_liquid_supply_and_vibration,pump_leakage,15,0.607377,0.05132,0.005388,,False,19,uniform
resnet18,severe_insufficient_liquid_supply,vibration,15,0.607238,0.046577,0.005249,,False,20,uniform
resnet18,gas_influence,natural_flowing,15,0.60664,0.05374,0.004651,,False,21,uniform
resnet18,collide_pump_and_vibration,gas_influence,15,0.605016,0.047388,0.003027,,False,22,uniform
resnet18,full_load_production,gas_influence,15,0.604354,0.054269,0.002365,,False,23,uniform
resnet18,gas_influence,severe_vibration,15,0.603991,0.053183,0.002002,,False,24,uniform
resnet18,gas_influence_and_vibration,natural_flowing,15,0.603859,0.049818,0.00187,,False,25,uniform
resnet18,collide_pump_and_vibration,insufficient_liquid_supply_and_vibration,15,0.602393,0.044026,0.000404,,False,26,uniform
resnet18,collide_pump_and_vibration,gas_influence_and_vibration,15,0.601465,0.043368,-0.000524,,False,27,uniform
resnet18,gas_influence,insufficient_liquid_supply_and_vibration,15,0.601055,0.053558,-0.000934,,False,28,uniform
resnet18,full_load_production,natural_flowing,15,0.600908,0.052643,-0.001081,,False,29,uniform
resnet18,insufficient_liquid_supply_and_vibration,natural_flowing,15,0.600336,0.051297,-0.001653,,False,30,uniform
resnet18,gas_influence_and_vibration,insufficient_liquid_supply_and_vibration,15,0.600217,0.044995,-0.001772,,False,31,uniform
resnet18,collide_pump_and_vibration,full_load_production,15,0.598524,0.045774,-0.003465,,False,32,uniform
resnet18,gas_influence_and_vibration,severe_vibration,15,0.598344,0.047806,-0.003645,,False,33,uniform
resnet18,insufficient_liquid_supply_and_vibration,severe_vibration,15,0.594114,0.048049,-0.007875,,False,34,uniform
resnet18,full_load_production,severe_vibration,15,0.593936,0.052068,-0.008053,,False,35,uniform
resnet18,pump_leakage,severe_insufficient_liquid_supply,15,0.593778,0.052406,-0.008211,,False,36,uniform
resnet18,full_load_production,gas_influence_and_vibration,15,0.593415,0.051741,-0.008574,,False,37,uniform
resnet18,gas_influence,severe_insufficient_liquid_supply,15,0.591096,0.054508,-0.010893,,False,38,uniform
resnet18,collide_pump_and_vibration,severe_insufficient_liquid_supply,15,0.591074,0.045611,-0.010915,,False,39,uniform
resnet18,natural_flowing,severe_insufficient_liquid_supply,15,0.587187,0.052317,-0.014802,,False,40,uniform
resnet18,full_load_production,insufficient_liquid_supply_and_vibration,15,0.585939,0.052302,-0.01605,,False,41,uniform
resnet18,severe_insufficient_liquid_supply,severe_vibration,15,0.580792,0.052181,-0.021197,,False,42,uniform
resnet18,insufficient_liquid_supply_and_vibration,severe_insufficient_liquid_supply,15,0.580557,0.052012,-0.021432,,False,43,uniform
resnet18,gas_influence_and_vibration,severe_insufficient_liquid_supply,15,0.58053,0.051762,-0.021459,,False,44,uniform
resnet18,full_load_production,severe_insufficient_liquid_supply,15,0.578825,0.053803,-0.023164,,False,45,uniform
yolo26m,natural_flowing,pump_leakage,15,0.564123,0.065046,0.034061,M2,True,1,uniform
yolo26m,natural_flowing,severe_vibration,15,0.561757,0.067463,0.031695,,True,2,uniform
yolo26m,pump_leakage,vibration,15,0.561135,0.052943,0.031073,,True,3,uniform
yolo26m,pump_leakage,severe_vibration,15,0.557123,0.057136,0.027061,,True,4,uniform
yolo26m,natural_flowing,vibration,15,0.556666,0.056171,0.026604,,True,5,uniform
yolo26m,severe_vibration,vibration,15,0.556605,0.056321,0.026543,M1,True,6,uniform
yolo26m,full_load_production,vibration,15,0.555724,0.059026,0.025662,,False,7,uniform
yolo26m,gas_influence_and_vibration,vibration,15,0.554333,0.054737,0.024271,,False,8,uniform
yolo26m,full_load_production,pump_leakage,15,0.549073,0.063294,0.019011,,False,9,uniform
yolo26m,gas_influence_and_vibration,pump_leakage,15,0.547809,0.062918,0.017747,,False,10,uniform
yolo26m,full_load_production,gas_influence,15,0.546863,0.056811,0.016801,,False,11,uniform
yolo26m,collide_pump_and_vibration,severe_vibration,15,0.545101,0.070073,0.015039,,False,12,uniform
yolo26m,insufficient_liquid_supply_and_vibration,vibration,15,0.544898,0.056388,0.014836,,False,13,uniform
yolo26m,gas_influence,gas_influence_and_vibration,15,0.543727,0.05326,0.013665,,False,14,uniform
yolo26m,collide_pump_and_vibration,vibration,15,0.543367,0.059052,0.013305,,False,15,uniform
yolo26m,gas_influence,vibration,15,0.540624,0.053172,0.010562,,False,16,uniform
yolo26m,gas_influence_and_vibration,insufficient_liquid_supply_and_vibration,15,0.539114,0.061286,0.009052,,False,17,uniform
yolo26m,full_load_production,gas_influence_and_vibration,15,0.538923,0.065157,0.008861,,False,18,uniform
