fraction,n_runs,n_train_mean,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std
0.2,15,96.0,0.4302789794627811,0.061921535689113336,0.48055212658511953,0.041153893540530895
0.4,15,192.0,0.5617837961845216,0.02414698169204598,0.5738450604122246,0.025007184912120575
0.6,15,288.0,0.5602530852065778,0.044453987260282775,0.5828227284629485,0.03730086142029683
0.8,15,384.0,0.6004876450664618,0.03175196943811651,0.6102756892230576,0.0340950778758407
1.0,15,480.4,0.5900053660102624,0.07419627856553235,0.6012119851868476,0.07099285168620809
